road_id;point_id;longitude;latitude
18383003[D20a (KFZ2)];61880E;8.688173;50.117466
18384002[D10b (KFZ1)];106664S;8.688586;50.118362
18384002[D10b (KFZ1)];1066641;8.688408;50.118206
18384002[D10b (KFZ1)];1066642;8.688295;50.118053
18384002[D10b (KFZ1)];106664E;8.688156;50.117825
18458001[D1 (KFZ1)];74756S;8.684414;50.105015
18458001[D1 (KFZ1)];74756E;8.683504;50.104702
17397004[D4];66560S;8.646095;50.08844
17397004[D4];66560E;8.646624;50.08679
18885011[D11 (KFZ6)];61946S;8.668883;50.1306
18885011[D11 (KFZ6)];619461;8.668888;50.13066
18885011[D11 (KFZ6)];619462;8.668636;50.13105
18885011[D11 (KFZ6)];619463;8.668575;50.131325
18885011[D11 (KFZ6)];619464;8.668507;50.131504
18885011[D11 (KFZ6)];61946E;8.66846;50.131573
18890008[D30b (KFZ3)];106311S;8.693761;50.129627
18890008[D30b (KFZ3)];106311E;8.693086;50.12918
18350010[D10 (KFZ7)];110228S;8.679104;50.116886
18350010[D10 (KFZ7)];110228E;8.679901;50.117027
18299002[D2 (KFZ3)];61962S;8.675714;50.122272
18299002[D2 (KFZ3)];619621;8.675742;50.122673
18299002[D2 (KFZ3)];61962E;8.675729;50.122826
18299003[D3 (KFZ3)];61962S;8.675714;50.122272
18299003[D3 (KFZ3)];619621;8.675742;50.122673
18299003[D3 (KFZ3)];61962E;8.675729;50.122826
18384010[D30b (KFZ3)];73034S;8.686855;50.118332
18384010[D30b (KFZ3)];73034E;8.687624;50.11798
17386021[gs21];37762S;8.64284;50.091274
17386021[gs21];377621;8.64289;50.091164
17386021[gs21];377622;8.642986;50.09095
17386021[gs21];377623;8.643201;50.09047
17386021[gs21];37762E;8.643039;50.090282
18372002[D2 (KFZ1)];74009S;8.709891;50.14963
18372002[D2 (KFZ1)];740091;8.707804;50.147694
18372002[D2 (KFZ1)];740092;8.707239;50.14715
18372002[D2 (KFZ1)];740093;8.707031;50.146954
18372002[D2 (KFZ1)];740094;8.706866;50.146797
18372002[D2 (KFZ1)];740095;8.706644;50.146545
18372002[D2 (KFZ1)];740096;8.70653;50.146416
18372002[D2 (KFZ1)];74009E;8.70623;50.14606
18885010[D10 (KFZ3)];106280S;8.665841;50.131443
18885010[D10 (KFZ3)];1062801;8.667931;50.13152
18885010[D10 (KFZ3)];1062802;8.668254;50.13154
18885010[D10 (KFZ3)];106280E;8.66846;50.131573
19110010[D20a (KFZ2)];62079S;8.698935;50.14082
19110010[D20a (KFZ2)];620791;8.699033;50.140896
19110010[D20a (KFZ2)];62079E;8.703475;50.14306
18371004[D20b];62079S;8.698935;50.14082
18371004[D20b];620791;8.699033;50.140896
18371004[D20b];62079E;8.703475;50.14306
18178007[D30b];61058S;8.687942;50.110405
18178007[D30b];610581;8.687912;50.110172
18178007[D30b];610582;8.687776;50.109703
18178007[D30b];61058E;8.687761;50.1096
18304025[D25];61927S;8.672296;50.13067
18304025[D25];619271;8.672279;50.131153
18304025[D25];619272;8.672296;50.131603
18304025[D25];61927E;8.672299;50.131626
18458002[D2 (KFZ1)];74756S;8.684414;50.105015
18458002[D2 (KFZ1)];74756E;8.683504;50.104702
18302003[D3 (KFZ3)];61963S;8.67442;50.125977
18302003[D3 (KFZ3)];619631;8.674381;50.126038
18302003[D3 (KFZ3)];619632;8.6739235;50.126522
18302003[D3 (KFZ3)];61963E;8.673755;50.126705
14029001[D10a (KFZ1)];74416S;8.686295;50.120007
14029001[D10a (KFZ1)];744161;8.686052;50.119915
14029001[D10a (KFZ1)];744162;8.685271;50.11956
