point_id;road_id
6262818;18368009[D7a (KFZ7)]
6262819;18368009[D7a (KFZ7)]
6262820;18368009[D7a (KFZ7)]
6262821;18368009[D7a (KFZ7)]
6262822;18368009[D7a (KFZ7)]
6262823;18368009[D7a (KFZ7)]
6262824;18368009[D7a (KFZ7)]
6262825;18368009[D7a (KFZ7)]
6262826;18368009[D7a (KFZ7)]
6262827;18368009[D7a (KFZ7)]
6262828;18368009[D7a (KFZ7)]
6262829;18368009[D7a (KFZ7)]
6262830;18368009[D7a (KFZ7)]
6262831;18368009[D7a (KFZ7)]
6262832;18368009[D7a (KFZ7)]
6262833;18368009[D7a (KFZ7)]
6262834;18368009[D7a (KFZ7)]
6262835;18368009[D7a (KFZ7)]
6262836;18368009[D7a (KFZ7)]
6262837;18368009[D7a (KFZ7)]
6262838;18368009[D7a (KFZ7)]
6262839;18368009[D7a (KFZ7)]
6262840;18368009[D7a (KFZ7)]
6262841;18368009[D7a (KFZ7)]
6262842;18368009[D7a (KFZ7)]
6262843;18368009[D7a (KFZ7)]
6262844;18368009[D7a (KFZ7)]
62628E;18368009[D7a (KFZ7)]
61768S;18889006[D5.2]
617681;18889006[D5.2]
617682;18889006[D5.2]
61768E;18889006[D5.2]
61969S;18298008[D8]
619691;18298008[D8]
619692;18298008[D8]
61969E;18298008[D8]
67857S;18888005[D5 (KFZ2)]
678571;18888005[D5 (KFZ2)]
678572;18888005[D5 (KFZ2)]
67857E;18888005[D5 (KFZ2)]
61969S;18298009[D9]
619691;18298009[D9]
619692;18298009[D9]
61969E;18298009[D9]
106623S;18828003[D3 (KFZ2)]
1066231;18828003[D3 (KFZ2)]
1066232;18828003[D3 (KFZ2)]
1066233;18828003[D3 (KFZ2)]
106623E;18828003[D3 (KFZ2)]
106574S;18945001[D1 (KFZ1)]
1065741;18945001[D1 (KFZ1)]
106574E;18945001[D1 (KFZ1)]
106550S;18458003[D3 (KFZ2)]
1065501;18458003[D3 (KFZ2)]
106550E;18458003[D3 (KFZ2)]
31982S;18828006[D6 (KFZ4)]
31982E;18828006[D6 (KFZ4)]
106288S;18304027[D20Schleif]
1062881;18304027[D20Schleif]
1062882;18304027[D20Schleif]
1062883;18304027[D20Schleif]
1062884;18304027[D20Schleif]
1062885;18304027[D20Schleif]
106288E;18304027[D20Schleif]
106336S;18367003[D20 (KFZ2)]
106336E;18367003[D20 (KFZ2)]
57850S;18371005[D30a]
578501;18371005[D30a]
578502;18371005[D30a]
578503;18371005[D30a]
578504;18371005[D30a]
578505;18371005[D30a]
578506;18371005[D30a]
578507;18371005[D30a]
578508;18371005[D30a]
578509;18371005[D30a]
5785010;18371005[D30a]
5785011;18371005[D30a]
5785012;18371005[D30a]
57850E;18371005[D30a]
61463S;15050002[D10b (KFZ1)]
614631;15050002[D10b (KFZ1)]
614632;15050002[D10b (KFZ1)]
614633;15050002[D10b (KFZ1)]
614634;15050002[D10b (KFZ1)]
614635;15050002[D10b (KFZ1)]
614636;15050002[D10b (KFZ1)]
614637;15050002[D10b (KFZ1)]
614638;15050002[D10b (KFZ1)]
614639;15050002[D10b (KFZ1)]
6146310;15050002[D10b (KFZ1)]
6146311;15050002[D10b (KFZ1)]
61463E;15050002[D10b (KFZ1)]
107136S;15050003[D3 (KFZ3)]
1071361;15050003[D3 (KFZ3)]
1071362;15050003[D3 (KFZ3)]
1071363;15050003[D3 (KFZ3)]
1071364;15050003[D3 (KFZ3)]
1071365;15050003[D3 (KFZ3)]
1071366;15050003[D3 (KFZ3)]
1071367;15050003[D3 (KFZ3)]
107136E;15050003[D3 (KFZ3)]
61967S;18298006[D6]
619671;18298006[D6]
619672;18298006[D6]
619673;18298006[D6]
619674;18298006[D6]
61967E;18298006[D6]
61768S;18889005[D5.1]
617681;18889005[D5.1]
617682;18889005[D5.1]
61768E;18889005[D5.1]
61791S;18889004[D4]
617911;18889004[D4]
617912;18889004[D4]
617913;18889004[D4]
61791E;18889004[D4]
61879S;18384018[D11b (KFZ11)]
618791;18384018[D11b (KFZ11)]
618792;18384018[D11b (KFZ11)]
61879E;18384018[D11b (KFZ11)]
61967S;18298007[D7]
619671;18298007[D7]
619672;18298007[D7]
619673;18298007[D7]
619674;18298007[D7]
61967E;18298007[D7]
62628S;18368011[D70a (KFZ7)]
626281;18368011[D70a (KFZ7)]
626282;18368011[D70a (KFZ7)]
626283;18368011[D70a (KFZ7)]
626284;18368011[D70a (KFZ7)]
626285;18368011[D70a (KFZ7)]
626286;18368011[D70a (KFZ7)]
626287;18368011[D70a (KFZ7)]
626288;18368011[D70a (KFZ7)]
626289;18368011[D70a (KFZ7)]
6262810;18368011[D70a (KFZ7)]
6262811;18368011[D70a (KFZ7)]
6262812;18368011[D70a (KFZ7)]
6262813;18368011[D70a (KFZ7)]
6262814;18368011[D70a (KFZ7)]
6262815;18368011[D70a (KFZ7)]
6262816;18368011[D70a (KFZ7)]
6262817;18368011[D70a (KFZ7)]
6262818;18368011[D70a (KFZ7)]
6262819;18368011[D70a (KFZ7)]
6262820;18368011[D70a (KFZ7)]
6262821;18368011[D70a (KFZ7)]
6262822;18368011[D70a (KFZ7)]
