point_id;road;suburb;city_district;city;state_district;state;postcode;country
105251E;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
74302S;Schaumainkai;Sachsenhausen;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
743021;Schaumainkai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
74302E;Schaumainkai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
106304S;Nibelungenallee;Nordend West;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
106304E;Nibelungenallee;Nordend West;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
105722S;Stresemannallee;Sachsenhausen;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1057221;Stresemannallee;Sachsenhausen;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1057222;Stresemannallee;Sachsenhausen;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1057223;Stresemannallee;Sachsenhausen;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1057224;Oskar-Sommer-Straße;Sachsenhausen;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1057225;Oskar-Sommer-Straße;Sachsenhausen;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
105722E;Oskar-Sommer-Straße;Sachsenhausen;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
107782S;Theodor-Stern-Kai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1077821;Theodor-Stern-Kai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1077822;Theodor-Stern-Kai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
107782E;Theodor-Stern-Kai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
107710S;Niederräder Landstraße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
107710E;Rennbahnstraße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
106748S;Eschenheimer Anlage;;Innenstadt;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
1067481;Oeder Weg;;Innenstadt;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
1067482;Eschenheimer Anlage;;Innenstadt;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
1067483;Eschenheimer Anlage;;Innenstadt;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
1067484;Eschenheimer Anlage;;Innenstadt;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
1067485;Eschersheimer Landstraße;Nordend West;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
106748E;Eschersheimer Landstraße;Nordend West;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
105940S;Jugenheimer Straße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
1059401;Jugenheimer Straße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
1059402;Melibocusstraße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
1059403;Melibocusstraße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
105940E;Adolf-Miersch-Straße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
61699S;Pforzheimer Straße;Gutleutviertel;Gutleutviertel;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60329;Deutschland
616991;Stuttgarter Straße;Gutleutviertel;Gutleutviertel;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60329;Deutschland
616992;Stuttgarter Straße;Gutleutviertel;Gutleutviertel;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60329;Deutschland
61699E;Gutleutstraße;Gutleutviertel;Gutleutviertel;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60329;Deutschland
105246S;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1052461;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1052462;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1052463;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1052464;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
105246E;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
105194S;Platz der Einheit;Gallus;Gallus;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60327;Deutschland
1051941;Platz der Einheit;Gallus;Gallus;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1051942;Platz der Einheit;Gallus;Gallus;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
105194E;Friedrich-Ebert-Anlage;Gallus;Gallus;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
105195S;Friedrich-Ebert-Anlage;Gallus;Gallus;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
105195E;Friedrich-Ebert-Anlage;;Gallus;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
61300S;Niederräder Landstraße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
613001;Niederräder Landstraße;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60598;Deutschland
613002;Niederräder Landstraße;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60598;Deutschland
613003;Niederräder Landstraße;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60598;Deutschland
613004;Niederräder Landstraße;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60598;Deutschland
61300E;Niederräder Landstraße;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60598;Deutschland
74661S;Nibelungenallee;Nordend West;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
746611;Nibelungenallee;Nordend West;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
746612;Nibelungenallee;Nordend West;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
74661E;Nibelungenallee;Nordend West;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
61834S;Friedberger Landstraße;Nordend Ost;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60316;Deutschland
618341;Friedberger Landstraße;Nordend Ost;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60316;Deutschland
618342;Friedberger Landstraße;Nordend Ost;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60316;Deutschland
61834E;Friedberger Landstraße;Nordend Ost;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60316;Deutschland
61824S;Marbachweg;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
618241;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
618242;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
618243;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
618244;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
618245;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
618246;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
61824E;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
105925S;Triftstraße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
105925E;Triftstraße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
61914S;Eckenheimer Landstraße;Nordend West;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
619141;Eckenheimer Landstraße;Nordend West;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
61914E;;;Innenstadt;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
105197S;Friedrich-Ebert-Anlage;;Gallus;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1051971;Friedrich-Ebert-Anlage;;Gallus;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1051972;Friedrich-Ebert-Anlage;;Gallus;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
105197E;Friedrich-Ebert-Anlage;;Gallus;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
64355S;Heidestraße;Bornheim;Bornheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60385;Deutschland
64355E;Heidestraße;Bornheim;Bornheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60385;Deutschland
